stage,observation_count,total_provision,total_discounted_realized_loss,provision_gap,coverage_ratio,mean_gap,mean_absolute_error,root_mean_squared_error,outcome
1,31521,8680487.8758574575,101511821.0024303347,-92831333.1265728772,0.0855120890,-2945.0630730806,3494.2823210652,92384.5008722673,under_provisioned
2,1923,154516435.9017905891,544834009.7853279114,-390317573.8835372925,0.2836027728,-202973.2573497334,335075.2097467397,874459.7804736636,under_provisioned
3,3518,6831059213.8085670471,6474616266.5079250336,356442947.3006420135,1.0550523664,101319.7689882440,1721094.6321423799,2191885.2574127899,over_provisioned
