month,current_marginal_pd,current_cumulative_pd,current_survival,origination_marginal_pd,origination_cumulative_pd,origination_survival
1,0.016985741943,0.016985741943,0.983014258057,0.000010704924,0.000010704924,0.999989295076
2,0.002416833680,0.019402575623,0.980597424377,0.000010663241,0.000021368165,0.999978631835
3,0.002334218460,0.021736794082,0.978263205918,0.000010623438,0.000031991603,0.999968008397
4,0.002254761881,0.023991555963,0.976008444037,0.000010585459,0.000042577062,0.999957422938
5,0.002178330059,0.026169886022,0.973830113978,0.000010549248,0.000053126310,0.999946873690
6,0.002104795419,0.028274681441,0.971725318559,0.000010514751,0.000063641062,0.999936358938
7,0.002034036293,0.030308717734,0.969691282266,0.000010481842,0.000074122903,0.999925877097
8,0.001965936905,0.032274654639,0.967725345361,0.000010450617,0.000084573520,0.999915426480
9,0.001900386632,0.034175041271,0.965824958729,0.000010420954,0.000094994474,0.999905005526
10,0.001837280028,0.036012321298,0.963987678702,0.000010392805,0.000105387279,0.999894612721
11,0.001776516484,0.037788837783,0.962211162217,0.000010366122,0.000115753401,0.999884246599
12,0.001717999988,0.039506837771,0.960493162229,0.000010340862,0.000126094263,0.999873905737
13,0.001661638886,0.041168476657,0.958831523343,0.000010316980,0.000136411244,0.999863588756
14,0.001607345668,0.042775822324,0.957224177676,0.000010294434,0.000146705678,0.999853294322
15,0.001555036756,0.044330859080,0.955669140920,0.000010273183,0.000156978861,0.999843021139
16,0.001504632313,0.045835491394,0.954164508606,0.000010253187,0.000167232048,0.999832767952
17,0.001456056055,0.047291547448,0.952708452552,0.000010234407,0.000177466455,0.999822533545
18,0.001409235073,0.048700782522,0.951299217478,0.000010216805,0.000187683259,0.999812316741
19,0.001364099676,0.050064882198,0.949935117802,0.000010200345,0.000197883604,0.999802116396
20,0.001320583225,0.051385465423,0.948614534577,0.000010184992,0.000208068596,0.999791931404
21,0.001278621989,0.052664087412,0.947335912588,0.000010170711,0.000218239307,0.999781760693
22,0.001238155006,0.053902242418,0.946097757582,0.000010157470,0.000228396777,0.999771603223
23,0.001199123948,0.055101366365,0.944898633635,0.000010145235,0.000238542012,0.999761457988
24,0.001161472994,0.056262839359,0.943737160641,0.000010133976,0.000248675987,0.999751324013
25,0.001125148715,0.057387988074,0.942612011926,0.000010123662,0.000258799650,0.999741200350
26,0.001090099957,0.058478088031,0.941521911969,0.000010114264,0.000268913914,0.999731086086
27,0.001056274503,0.059534362535,0.940465637465,0.000010102522,0.000279016436,0.999720983564
28,0.001023628721,0.060557991256,0.939442008744,0.000010091690,0.000289108126,0.999710891874
29,0.000992116407,0.061550107663,0.938449892337,0.000010080485,0.000299188611,0.999700811389
30,0.000961696845,0.062511804508,0.937488195492,0.000010071229,0.000309259840,0.999690740160
31,0.000931946404,0.063443750912,0.936556249088,0.000010062978,0.000319322818,0.999680677182
32,0.000903602045,0.064347352957,0.935652647043,0.000010056093,0.000329378911,0.999670621089
33,0.000876229415,0.065223582372,0.934776417628,0.000010049254,0.000339428165,0.999660571835
34,0.000849791128,0.066073373500,0.933926626500,0.000010041411,0.000349469576,0.999650530424
35,0.000824254384,0.066897627884,0.933102372116,0.000010034604,0.000359504180,0.999640495820
36,0.000799586497,0.067697214381,0.932302785619,0.000009793941,0.000369298121,0.999630701879
37,0.000775756883,0.068472971263,0.931527028737,0.000009801356,0.000379099477,0.999620900523
38,0.000752732446,0.069225703709,0.930774296291,0.000009809362,0.000388908838,0.999611091162
39,0.000730481855,0.069956185564,0.930043814436,0.000009816173,0.000398725011,0.999601274989
40,0.000708977770,0.070665163334,0.929334836666,0.000009818219,0.000408543229,0.999591456771
41,0.000688193520,0.071353356854,0.928646643146,0.000009825227,0.000418368457,0.999581631543
42,0.000668103419,0.072021460274,0.927978539726,0.000009833075,0.000428201532,0.999571798468
43,0.000648681664,0.072670141937,0.927329858063,0.000009841069,0.000438042601,0.999561957399
44,0.000629689056,0.073299830994,0.926700169006,0.000009849841,0.000447892442,0.999552107558
45,0.000611345723,0.073911176716,0.926088823284,0.000009858720,0.000457751162,0.999542248838
46,0.000593642458,0.074504819175,0.925495180825,0.000009866922,0.000467618085,0.999532381915
47,0.000576676924,0.075081496099,0.924918503901,0.000009876583,0.000477494667,0.999522505333
48,0.000560268390,0.075641764489,0.924358235511,0.000009886702,0.000487381369,0.999512618631
49,0.000544206487,0.076185970976,0.923814029024,0.000009896089,0.000497277458,0.999502722542
50,0.000528853788,0.076714824764,0.923285175236,0.000009904964,0.000507182423,0.999492817577
51,0.000514001344,0.077228826108,0.922771173892,0.000009914829,0.000517097252,0.999482902748
52,0.000499628966,0.077728455074,0.922271544926,0.000009925448,0.000527022700,0.999472977300
