vintage,from_state,to_state,count,probability
2005Q4,CURRENT,30_DPD,8271,0.01211046572069058
2005Q4,30_DPD,CURRENT,5875,0.33257854514576846
2005Q4,CURRENT,PAID_OFF,8621,0.012622938577931748
2005Q4,30_DPD,30_DPD,8335,0.471836965751486
2005Q4,30_DPD,60_DPD,3307,0.18720634022077554
2005Q4,60_DPD,CURRENT,619,0.10484417344173441
2005Q4,60_DPD,90_PLUS,2097,0.3551829268292683
2005Q4,90_PLUS,CURRENT,902,0.04068561118628777
2005Q4,60_DPD,60_DPD,2229,0.3775406504065041
2005Q4,90_PLUS,90_PLUS,20019,0.9029769959404601
2005Q4,CURRENT,90_PLUS,46,6.735357552312497e-05
2005Q4,60_DPD,30_DPD,917,0.15531842818428185
2005Q4,30_DPD,PAID_OFF,111,0.0062836116614774975
2005Q4,90_PLUS,DEFAULTED,720,0.03247631935047361
2005Q4,90_PLUS,60_DPD,304,0.013712223725755526
2005Q4,90_PLUS,30_DPD,144,0.006495263870094722
2005Q4,DEFAULTED,DEFAULTED,2915,0.9993143640726774
2005Q4,CURRENT,60_DPD,65,9.517353063050268e-05
2005Q4,90_PLUS,PAID_OFF,73,0.003292737934145241
2005Q4,CURRENT,CENSORED_RPL,151,0.00022109543269547546
2005Q4,30_DPD,CENSORED_RPL,22,0.0012454005094820267
2005Q4,60_DPD,PAID_OFF,32,0.005420054200542005
2005Q4,30_DPD,90_PLUS,12,0.0006793093688083782
2005Q4,DEFAULTED,CENSORED_DEFECT,2,0.0006856359273225917
2005Q4,90_PLUS,CENSORED_DEFECT,6,0.00027063599458728013
2005Q4,60_DPD,CENSORED_RPL,7,0.0011856368563685636
2005Q4,CURRENT,DEFAULTED,4,5.85683265418478e-06
2005Q4,CURRENT,CENSORED_DEFECT,13,1.9034706126100535e-05
2005Q4,90_PLUS,CENSORED_RPL,2,9.021199819576004e-05
2005Q4,30_DPD,CENSORED_DEFECT,2,0.0001132182281347297
2005Q4,60_DPD,DEFAULTED,3,0.0005081300813008131
2005Q4,30_DPD,DEFAULTED,1,5.660911406736485e-05
2006Q1,CURRENT,CURRENT,613679,0.9732270153085902
2006Q1,CURRENT,PAID_OFF,8492,0.013467372704623344
2006Q1,CURRENT,30_DPD,8079,0.012812400386322656
2006Q1,30_DPD,60_DPD,3396,0.1950043066322136
2006Q1,60_DPD,90_PLUS,2161,0.3631932773109244
2006Q1,90_PLUS,90_PLUS,22052,0.9082372322899506
2006Q1,90_PLUS,DEFAULTED,808,0.03327841845140033
2006Q1,30_DPD,CURRENT,5629,0.3232271030720643
2006Q1,30_DPD,30_DPD,8220,0.4720068906115418
2006Q1,60_DPD,CURRENT,599,0.10067226890756302
2006Q1,CURRENT,60_DPD,73,0.00011576992551077533
2006Q1,60_DPD,30_DPD,953,0.16016806722689075
2006Q1,60_DPD,60_DPD,2195,0.3689075630252101
2006Q1,90_PLUS,30_DPD,160,0.006589785831960461
2006Q1,90_PLUS,CURRENT,890,0.036655683690280064
2006Q1,30_DPD,PAID_OFF,127,0.007292563881711169
2006Q1,DEFAULTED,DEFAULTED,3387,0.9991150442477876
2006Q1,90_PLUS,60_DPD,289,0.011902800658978583
2006Q1,CURRENT,CENSORED_RPL,158,0.00025057052370825345
2006Q1,60_DPD,PAID_OFF,30,0.005042016806722689
2006Q1,90_PLUS,CENSORED_DEFECT,17,0.000700164744645799
2006Q1,60_DPD,DEFAULTED,4,0.0006722689075630252
2006Q1,30_DPD,CENSORED_RPL,21,0.0012058570198105081
2006Q1,CURRENT,90_PLUS,57,9.039569526183827e-05
2006Q1,90_PLUS,PAID_OFF,63,0.0025947281713344316
2006Q1,30_DPD,90_PLUS,15,0.0008613264427217916
2006Q1,60_DPD,CENSORED_RPL,7,0.001176470588235294
2006Q1,CURRENT,DEFAULTED,3,4.7576681716756986e-06
2006Q1,CURRENT,CENSORED_DEFECT,20,3.171778781117132e-05
2006Q1,30_DPD,CENSORED_DEFECT,2,0.00011484352569623887
2006Q1,30_DPD,DEFAULTED,5,0.0002871088142405972
2006Q1,90_PLUS,CENSORED_RPL,1,4.118616144975288e-05
2006Q1,DEFAULTED,CENSORED_DEFECT,3,0.0008849557522123894
2006Q1,60_DPD,CENSORED_DEFECT,1,0.0001680672268907563
2006Q2,CURRENT,CURRENT,547476,0.9704457510338581
2006Q2,CURRENT,PAID_OFF,8629,0.015295604530008916
2006Q2,CURRENT,30_DPD,7731,0.01370382647137547
