from_state,CURRENT,30_DPD,60_DPD,90_PLUS,PAID_OFF,DEFAULTED,CENSORED_RPL,CENSORED_DEFECT,UNKNOWN
CURRENT,386659,3620,24,22,4513,0,17,3,0
30_DPD,2769,3919,1278,10,85,0,3,0,0
60_DPD,331,463,794,608,16,0,1,0,0
90_PLUS,246,68,118,4309,42,162,0,3,0
PAID_OFF,0,0,0,0,0,0,0,0,0
DEFAULTED,0,0,0,0,0,1003,0,1,0
CENSORED_RPL,0,0,0,0,0,0,0,0,0
CENSORED_DEFECT,0,0,0,0,0,0,0,0,0
UNKNOWN,0,0,0,0,0,0,0,0,0
