from_state,CURRENT,30_DPD,60_DPD,90_PLUS,PAID_OFF,DEFAULTED,CENSORED_RPL,CENSORED_DEFECT,UNKNOWN
CURRENT,0.9792355733,0.0091678527,0.0000607813,0.0000557162,0.0114294253,0.0000000000,0.0000430535,0.0000075977,0.0000000000
30_DPD,0.3433779762,0.4859871032,0.1584821429,0.0012400794,0.0105406746,0.0000000000,0.0003720238,0.0000000000,0.0000000000
60_DPD,0.1495707185,0.2092182558,0.3587889742,0.2747401717,0.0072300045,0.0000000000,0.0004518753,0.0000000000,0.0000000000
90_PLUS,0.0497170574,0.0137429264,0.0238480194,0.8708569119,0.0084882781,0.0327405012,0.0000000000,0.0006063056,0.0000000000
PAID_OFF,,,,,,,,,
DEFAULTED,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9990039841,0.0000000000,0.0009960159,0.0000000000
CENSORED_RPL,,,,,,,,,
CENSORED_DEFECT,,,,,,,,,
UNKNOWN,,,,,,,,,
