from_state,CURRENT,30_DPD,60_DPD,90_PLUS,PAID_OFF,DEFAULTED,CENSORED_RPL,CENSORED_DEFECT,UNKNOWN
CURRENT,245882127.3071,3170752.5711000008,27630.9261,22655.109099999998,3460399.2611999996,2064.1954,61723.3955,8702.590600000001,0.0
30_DPD,2198615.4535,3309390.8723999998,1320324.2173,8240.9993,46637.6334,1220.1690999999998,9812.4797,932.2592000000001,0.0
60_DPD,241493.8662,357135.2423,889872.8674999999,854160.4649,11774.1463,2225.1364,2446.2063,491.0274,0.0
90_PLUS,365771.80389999994,58209.52849999999,122553.8886,8337277.5788,29195.8877,295944.9736,594.5336,11079.4464,0.0
PAID_OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEFAULTED,0.0,0.0,0.0,0.0,0.0,1227133.9352,0.0,989.8493000000001,0.0
CENSORED_RPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENSORED_DEFECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
