from_state,CURRENT,30_DPD,60_DPD,90_PLUS,PAID_OFF,DEFAULTED,CENSORED_RPL,CENSORED_DEFECT,UNKNOWN
CURRENT,245882127.3071,3170752.5711,27630.9261,22655.1091,3460399.2612,2064.1954,61723.3955,8702.5906,0.0
30_DPD,2198615.4535,3309390.8724,1320324.2173,8240.9993,46637.6334,1220.1691,9812.4797,932.2592,0.0
60_DPD,241493.8662,357135.2423,889872.8675,854160.4649,11774.1463,2225.1364,2446.2063,491.0274,0.0
90_PLUS,365771.8039,58209.5285,122553.88859999999,8337277.5788,29195.8877,295944.9736,594.5336,11079.4464,0.0
PAID_OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEFAULTED,0.0,0.0,0.0,0.0,0.0,1227133.9352,0.0,989.8493,0.0
CENSORED_RPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENSORED_DEFECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
