segment_type,segment,from_state,to_state,sample_count,weighted_count,probability
Classic FICO,740 plus,30_DPD,CENSORED_RPL,36,1191.2410000000,0.0013760523
Classic FICO,740 plus,30_DPD,CURRENT,9187,311344.4194000000,0.3596469665
Classic FICO,740 plus,30_DPD,DEFAULTED,15,493.3836000000,0.0005699280
Classic FICO,740 plus,30_DPD,PAID_OFF,312,10479.3005000000,0.0121050785
Classic FICO,740 plus,60_DPD,30_DPD,1014,33941.9865000000,0.1144231251
Classic FICO,740 plus,60_DPD,60_DPD,2886,94751.8946000000,0.3194217252
Classic FICO,740 plus,60_DPD,90_PLUS,4010,133113.8713000000,0.4487452478
Classic FICO,740 plus,60_DPD,CENSORED_DEFECT,2,67.2849000000,0.0002268267
Classic FICO,740 plus,60_DPD,CENSORED_RPL,8,261.4064000000,0.0008812371
Classic FICO,740 plus,60_DPD,CURRENT,935,31439.6242000000,0.1059873161
Classic FICO,740 plus,60_DPD,DEFAULTED,29,905.5120000000,0.0030526060
Classic FICO,740 plus,60_DPD,PAID_OFF,63,2154.1437000000,0.0072619160
Classic FICO,740 plus,90_PLUS,30_DPD,174,5619.0535000000,0.0037212289
Classic FICO,740 plus,90_PLUS,60_DPD,306,10109.4033000000,0.0066949716
Classic FICO,740 plus,90_PLUS,90_PLUS,41335,1373103.6957000000,0.9093405375
Classic FICO,740 plus,90_PLUS,CENSORED_DEFECT,46,1418.3096000000,0.0009392782
Classic FICO,740 plus,90_PLUS,CENSORED_RPL,2,67.2849000000,0.0000445596
Classic FICO,740 plus,90_PLUS,CURRENT,1439,48046.2221000000,0.0318187021
Classic FICO,740 plus,90_PLUS,DEFAULTED,1980,65506.9801000000,0.0433821223
Classic FICO,740 plus,90_PLUS,PAID_OFF,179,6128.4834000000,0.0040585998
Classic FICO,740 plus,CURRENT,30_DPD,14041,473230.6953000000,0.0043357374
Classic FICO,740 plus,CURRENT,60_DPD,98,3203.3528000000,0.0000293491
Classic FICO,740 plus,CURRENT,90_PLUS,95,3132.2705000000,0.0000286978
Classic FICO,740 plus,CURRENT,CENSORED_DEFECT,61,1964.5277000000,0.0000179990
Classic FICO,740 plus,CURRENT,CENSORED_RPL,271,8861.6709000000,0.0000811906
Classic FICO,740 plus,CURRENT,CURRENT,3087909,106941733.5553999990,0.9797996541
Classic FICO,740 plus,CURRENT,DEFAULTED,23,704.6264000000,0.0000064558
Classic FICO,740 plus,CURRENT,PAID_OFF,50662,1713700.5389000000,0.0157009162
Classic FICO,740 plus,DEFAULTED,CENSORED_DEFECT,5,170.1144000000,0.0008037755
Classic FICO,740 plus,DEFAULTED,DEFAULTED,6433,211474.0631000000,0.9991962245
Classic FICO,Below 660,30_DPD,30_DPD,45387,1520326.4209000000,0.5120357925
Classic FICO,Below 660,30_DPD,60_DPD,15814,526282.8837000000,0.1772485630
Classic FICO,Below 660,30_DPD,90_PLUS,136,4450.7773000000,0.0014989921
Classic FICO,Below 660,30_DPD,CENSORED_DEFECT,17,515.2745000000,0.0001735410
Classic FICO,Below 660,30_DPD,CENSORED_RPL,133,4336.0648000000,0.0014603577
Classic FICO,Below 660,30_DPD,CURRENT,26687,897850.9064000000,0.3023901934
Classic FICO,Below 660,30_DPD,DEFAULTED,6,204.6857000000,0.0000689368
Classic FICO,Below 660,30_DPD,PAID_OFF,450,15212.9603000000,0.0051236235
Classic FICO,Below 660,60_DPD,30_DPD,5012,166969.1057000000,0.1685200124
Classic FICO,Below 660,60_DPD,60_DPD,11844,393292.3669000000,0.3969454964
Classic FICO,Below 660,60_DPD,90_PLUS,9757,323050.8135000000,0.3260514984
Classic FICO,Below 660,60_DPD,CENSORED_DEFECT,5,166.7283000000,0.0001682770
Classic FICO,Below 660,60_DPD,CENSORED_RPL,30,1033.2179000000,0.0010428150
Classic FICO,Below 660,60_DPD,CURRENT,3039,101603.9353000000,0.1025476921
Classic FICO,Below 660,60_DPD,DEFAULTED,8,296.8711000000,0.0002996286
Classic FICO,Below 660,60_DPD,PAID_OFF,129,4383.8602000000,0.0044245801
Classic FICO,Below 660,90_PLUS,30_DPD,819,26916.2573000000,0.0081029726
Classic FICO,Below 660,90_PLUS,60_DPD,1777,58572.0673000000,0.0176327581
Classic FICO,Below 660,90_PLUS,90_PLUS,90241,2984862.5967999999,0.8985743977
Classic FICO,Below 660,90_PLUS,CENSORED_DEFECT,141,4461.9302000000,0.0013432365
Classic FICO,Below 660,90_PLUS,CENSORED_RPL,8,266.2845000000,0.0000801633
Classic FICO,Below 660,90_PLUS,CURRENT,4613,153197.9340000000,0.0461192892
Classic FICO,Below 660,90_PLUS,DEFAULTED,2520,83116.6215000000,0.0250217441
Classic FICO,Below 660,90_PLUS,PAID_OFF,301,10382.0062000000,0.0031254387
Classic FICO,Below 660,CURRENT,30_DPD,37445,1256135.6880000001,0.0317901269
Classic FICO,Below 660,CURRENT,60_DPD,398,12934.0794000000,0.0003273341
Classic FICO,Below 660,CURRENT,90_PLUS,304,10084.1295000000,0.0002552079
Classic FICO,Below 660,CURRENT,CENSORED_DEFECT,87,2776.3207000000,0.0000702628
Classic FICO,Below 660,CURRENT,CENSORED_RPL,700,23043.0765000000,0.0005831713
Classic FICO,Below 660,CURRENT,CURRENT,1113776,37796147.8633999974,0.9565402436
Classic FICO,Below 660,CURRENT,DEFAULTED,16,517.7016000000,0.0000131019
Classic FICO,Below 660,CURRENT,PAID_OFF,12232,411751.3145000000,0.0104205514
Classic FICO,Below 660,DEFAULTED,CENSORED_DEFECT,10,329.8016000000,0.0008487740
Classic FICO,Below 660,DEFAULTED,DEFAULTED,11856,388232.5341000000,0.9991512260
Classic FICO,Unknown,30_DPD,30_DPD,23,760.8210000000,0.3762121790
Classic FICO,Unknown,30_DPD,60_DPD,23,795.9629000000,0.3935892109
Classic FICO,Unknown,30_DPD,CURRENT,13,437.0370000000,0.2161068662
Classic FICO,Unknown,30_DPD,PAID_OFF,1,28.4980000000,0.0140917439
Classic FICO,Unknown,60_DPD,30_DPD,1,30.2331000000,0.0256924021
Classic FICO,Unknown,60_DPD,60_DPD,9,303.1964000000,0.2576594472
Classic FICO,Unknown,60_DPD,90_PLUS,15,533.0406000000,0.4529834335
Classic FICO,Unknown,60_DPD,CURRENT,8,276.4294000000,0.2349125728
Classic FICO,Unknown,60_DPD,PAID_OFF,1,33.8336000000,0.0287521444
Classic FICO,Unknown,90_PLUS,60_DPD,2,77.5738000000,0.0154475087
Classic FICO,Unknown,90_PLUS,90_PLUS,134,4488.7271000000,0.8938539909
Classic FICO,Unknown,90_PLUS,CURRENT,8,274.5130000000,0.0546646154
Classic FICO,Unknown,90_PLUS,DEFAULTED,5,180.9538000000,0.0360338850
Classic FICO,Unknown,CURRENT,30_DPD,36,1231.2648000000,0.0071044246
Classic FICO,Unknown,CURRENT,CENSORED_RPL,1,35.4055000000,0.0002042905
Classic FICO,Unknown,CURRENT,CURRENT,5106,169667.9251000000,0.9789876069
Classic FICO,Unknown,CURRENT,PAID_OFF,72,2374.9786000000,0.0137036780
Classic FICO,Unknown,DEFAULTED,DEFAULTED,30,1289.5928000000,1.0000000000
Original LTV,60 or below,30_DPD,30_DPD,16703,562812.3092000000,0.4792974835
Original LTV,60 or below,30_DPD,60_DPD,5584,186846.5167000000,0.1591206585
Original LTV,60 or below,30_DPD,90_PLUS,39,1242.8939000000,0.0010584628
Original LTV,60 or below,30_DPD,CENSORED_RPL,43,1442.9277000000,0.0012288139
