reporting_month,state,rows,weighted_rows
200703,DEFAULTED,20,728.2127
200703,PAID_OFF,595,20783.7674
200704,30_DPD,674,23568.1349
200704,60_DPD,132,4904.8525
200704,90_PLUS,131,4703.7357
200704,CENSORED_DEFECT,2,60.1361
200704,CURRENT,79259,2730210.0799
200704,DEFAULTED,24,911.7689
200704,PAID_OFF,641,22017.8262
200705,30_DPD,725,25170.8393
200705,60_DPD,129,4658.6266000000005
200705,90_PLUS,161,5855.3344
200705,CENSORED_DEFECT,1,28.3975
200705,CURRENT,81782,2817316.6736
200705,DEFAULTED,26,948.1816
200705,PAID_OFF,695,24390.6354
200706,30_DPD,907,31710.3677
200706,60_DPD,135,4818.5789
200706,90_PLUS,166,5961.564
200706,CURRENT,84127,2900033.8329
200706,DEFAULTED,34,1239.6467
200706,PAID_OFF,675,23480.3052
200707,30_DPD,877,30635.875500000002
200707,60_DPD,186,6714.8268
200707,90_PLUS,201,7077.3212
200707,CENSORED_DEFECT,3,89.497
200707,CURRENT,86359,2978407.3975
200707,DEFAULTED,43,1554.886
200707,PAID_OFF,566,19724.842699999997
200708,30_DPD,870,30163.185299999997
200708,60_DPD,179,6278.3396
200708,90_PLUS,234,8411.935
200708,CENSORED_DEFECT,1,28.3975
200708,CURRENT,89524,3069741.3244
200708,DEFAULTED,51,1838.6959
200708,PAID_OFF,579,19991.0085
200709,30_DPD,1251,43224.7684
200709,60_DPD,235,8113.6185000000005
200709,90_PLUS,281,10021.5515
200709,CENSORED_DEFECT,3,105.61449999999999
200709,CURRENT,91765,3128866.5239
200709,DEFAULTED,54,1911.2794
200709,PAID_OFF,458,16022.9549
200710,30_DPD,1192,40664.051400000004
200710,60_DPD,260,8962.6729
200710,90_PLUS,305,10733.6157
200710,CENSORED_DEFECT,1,37.6907
200710,CURRENT,94702,3211450.5851
200710,DEFAULTED,71,2450.68
200710,PAID_OFF,592,20115.6299
200711,30_DPD,1238,42232.7953
200711,60_DPD,280,9599.8833
200711,90_PLUS,354,12470.59
200711,CENSORED_DEFECT,3,93.66040000000001
200711,CURRENT,97697,3298142.0422
200711,DEFAULTED,79,2722.3952
200711,PAID_OFF,510,17112.581599999998
200712,30_DPD,1376,46591.2619
200712,60_DPD,320,10962.7718
200712,90_PLUS,421,14738.047199999999
200712,CENSORED_DEFECT,3,96.505
200712,CURRENT,99720,3355306.5831
200712,DEFAULTED,87,3003.2775
200712,PAID_OFF,690,22818.6769
200801,30_DPD,1292,43464.4326
200801,60_DPD,319,11001.2641
200801,90_PLUS,484,16677.0266
200801,CENSORED_DEFECT,3,92.5647
200801,CURRENT,102346,3431345.6633
200801,DEFAULTED,89,3094.0416
200801,PAID_OFF,875,28361.7531
200802,30_DPD,1291,43209.7865
200802,60_DPD,307,10551.1882
200802,90_PLUS,511,17599.0326
200802,CENSORED_DEFECT,2,58.0801
200802,CURRENT,101757,3410902.005
200802,DEFAULTED,98,3406.3776
200802,PAID_OFF,1497,48099.6944
200803,30_DPD,1233,41461.003600000004
200803,60_DPD,320,10758.9887
200803,90_PLUS,560,19282.7238
200803,CENSORED_DEFECT,2,58.7311
200803,CURRENT,100405,3367070.3264
200803,DEFAULTED,103,3572.0303999999996
200803,PAID_OFF,1469,47435.0678
200804,30_DPD,1308,43513.8156
200804,60_DPD,305,10349.8405
200804,90_PLUS,647,22081.3724
200804,CENSORED_DEFECT,3,89.9935
200804,CURRENT,99074,3324258.011
200804,DEFAULTED,113,3905.1634
200804,PAID_OFF,1220,39328.548
200805,30_DPD,1326,44334.9878
200805,60_DPD,329,10932.7902
200805,90_PLUS,693,23546.8722
200805,CENSORED_DEFECT,6,180.3543
200805,CURRENT,98581,3308804.8292
200805,DEFAULTED,125,4333.2015
200805,PAID_OFF,1011,33102.6057
200806,30_DPD,1476,49193.8915
200806,60_DPD,378,12520.375900000001
200806,90_PLUS,744,25189.6679
200806,CENSORED_DEFECT,5,178.4288
200806,CURRENT,97943,3287375.7749
200806,DEFAULTED,145,4973.4863
200806,PAID_OFF,798,26503.3958
200807,30_DPD,1414,47464.848
200807,60_DPD,433,14339.4459
200807,90_PLUS,789,26431.2769
200807,CENSORED_DEFECT,6,192.94709999999998
200807,CURRENT,97161,3260947.0358
200807,DEFAULTED,162,5580.0198
200807,PAID_OFF,736,24708.2341
200808,30_DPD,1770,59302.489799999996
200808,60_DPD,467,15662.6836
