segment_type,segment,from_state,to_state,sample_count,weighted_count,probability
Classic FICO,740 plus,30_DPD,CENSORED_DEFECT,2,68.46950000000001,7.909198444342988e-05
Classic FICO,740 plus,30_DPD,CENSORED_RPL,36,1191.241,0.0013760523246171778
Classic FICO,740 plus,30_DPD,CURRENT,9187,311344.4194,0.3596469665432566
Classic FICO,740 plus,30_DPD,DEFAULTED,15,493.3836,0.0005699280411839349
Classic FICO,740 plus,30_DPD,PAID_OFF,312,10479.3005,0.012105078496615674
Classic FICO,740 plus,60_DPD,30_DPD,1014,33941.9865,0.11442312506422608
Classic FICO,740 plus,60_DPD,60_DPD,2886,94751.8946,0.31942172523956924
Classic FICO,740 plus,60_DPD,90_PLUS,4010,133113.8713,0.44874524782287556
Classic FICO,740 plus,60_DPD,CENSORED_DEFECT,2,67.28490000000001,0.00022682669229256652
Classic FICO,740 plus,60_DPD,CENSORED_RPL,8,261.4064,0.0008812370837454996
Classic FICO,740 plus,60_DPD,CURRENT,935,31439.6242,0.10598731608737365
Classic FICO,740 plus,60_DPD,DEFAULTED,29,905.512,0.003052606034804636
Classic FICO,740 plus,60_DPD,PAID_OFF,63,2154.1437,0.0072619159751128514
Classic FICO,740 plus,90_PLUS,30_DPD,174,5619.0535,0.003721228881738587
Classic FICO,740 plus,90_PLUS,60_DPD,306,10109.4033,0.006694971588560847
Classic FICO,740 plus,90_PLUS,90_PLUS,41335,1373103.6957,0.9093405375230602
Classic FICO,740 plus,90_PLUS,CENSORED_DEFECT,46,1418.3096,0.000939278233739384
Classic FICO,740 plus,90_PLUS,CENSORED_RPL,2,67.28490000000001,4.455955316760958e-05
Classic FICO,740 plus,90_PLUS,CURRENT,1439,48046.2221,0.031818702088696395
Classic FICO,740 plus,90_PLUS,DEFAULTED,1980,65506.9801,0.0433821223278253
Classic FICO,740 plus,90_PLUS,PAID_OFF,179,6128.4834,0.004058599803211608
Classic FICO,740 plus,CURRENT,30_DPD,14041,473230.6953,0.004335737379216643
Classic FICO,740 plus,CURRENT,60_DPD,98,3203.3528,2.9349103115497538e-05
Classic FICO,740 plus,CURRENT,90_PLUS,95,3132.2705,2.8697847421030564e-05
Classic FICO,740 plus,CURRENT,CENSORED_DEFECT,61,1964.5277,1.7998993442293093e-05
Classic FICO,740 plus,CURRENT,CENSORED_RPL,271,8861.6709,8.119058663151428e-05
Classic FICO,740 plus,CURRENT,CURRENT,3087909,106941733.5554,0.9797996541209878
Classic FICO,740 plus,CURRENT,DEFAULTED,23,704.6264,6.455783724946504e-06
Classic FICO,740 plus,CURRENT,PAID_OFF,50662,1713700.5389,0.01570091618546037
Classic FICO,740 plus,DEFAULTED,CENSORED_DEFECT,5,170.1144,0.0008037754783024919
Classic FICO,740 plus,DEFAULTED,DEFAULTED,6433,211474.0631,0.9991962245216975
Classic FICO,Below 660,30_DPD,30_DPD,45387,1520326.4209,0.5120357925143457
Classic FICO,Below 660,30_DPD,60_DPD,15814,526282.8837,0.17724856303065561
Classic FICO,Below 660,30_DPD,90_PLUS,136,4450.7773,0.0014989920919490872
Classic FICO,Below 660,30_DPD,CENSORED_DEFECT,17,515.2745,0.0001735410128660043
Classic FICO,Below 660,30_DPD,CENSORED_RPL,133,4336.0648,0.0014603576874940027
Classic FICO,Below 660,30_DPD,CURRENT,26687,897850.9064,0.30239019338103484
