stage,staging_reason,loan_count,weighted_loan_count,reporting_ead,baseline_ecl,probability_weighted_ecl,weighted_reporting_ead,weighted_baseline_ecl,weighted_ecl
1,performing,31521,1071377.8662000000,4160783932.4299998283,239856.6189639861,256644.2076839142,140731042251.3635864258,8112680.4194844048,8680487.8758574575
2,30_dpd_backstop,1923,64372.4664000000,301600526.3999999762,4421722.4118757714,4667153.1988210343,10066559099.9791316986,146383010.2224000096,154516435.9017905891
3,90_dpd_backstop,2962,98039.3106000000,539719364.7300000191,158212782.5496558249,158212782.5496558249,17741321238.3031425476,5153108603.4300727844,5153108603.4300727844
3,default_flag,556,18131.5672000000,90791895.0499999970,51522596.1225814447,51522596.1225814447,2959909126.2680859566,1677950610.3784947395,1677950610.3784947395
